qid,corpus,gold_docs,gold_chunks,gold_in_top5,gold_doc_in_top20,explicit_entity_resolvable,typed_relation_reachable,category
Q016,D100,doc006,doc006#c098;doc006#c001,True,False,False,False,D
Q022,D20,doc005;doc014;doc019,doc005#c035;doc014#c044;doc019#c021,True,True,False,False,A
Q022,D50,doc005;doc014;doc019,doc005#c035;doc014#c044;doc019#c021,True,True,False,False,A
Q024,D100,doc008;doc009;doc005,doc008#c005;doc009#c035;doc005#c001,False,True,True,False,A
Q024,D20,doc008;doc009;doc005,doc008#c005;doc009#c035;doc005#c001,False,True,True,False,A
Q024,D50,doc008;doc009;doc005,doc008#c005;doc009#c035;doc005#c001,False,True,True,False,A
Q025,D100,doc009;doc005,doc009#c001;doc005#c047,False,True,True,False,A
Q026,D100,doc010;doc014,doc010#c001;doc014#c054,False,True,False,False,A
Q026,D20,doc010;doc014,doc010#c001;doc014#c054,False,True,False,False,A
Q026,D50,doc010;doc014,doc010#c001;doc014#c054,False,True,False,False,A
Q038,D100,doc006;doc014,doc006#c047;doc014#c036;doc006#c050,False,True,False,False,A
Q038,D20,doc006;doc014,doc006#c047;doc014#c036;doc006#c050,False,True,False,False,A
Q038,D50,doc006;doc014,doc006#c047;doc014#c036;doc006#c050,False,True,False,False,A
Q040,D100,doc010;doc014,doc010#c032;doc014#c023;doc010#c089,True,True,False,False,A
Q040,D20,doc010;doc014,doc010#c032;doc014#c023;doc010#c089,True,True,False,False,A
Q040,D50,doc010;doc014,doc010#c032;doc014#c023;doc010#c089,True,True,False,False,A
Q041,D100,doc012;doc014,doc012#c034;doc012#c032;doc014#c037,True,False,False,False,D
Q041,D20,doc012;doc014,doc012#c034;doc012#c032;doc014#c037,True,False,False,False,D
Q041,D50,doc012;doc014,doc012#c034;doc012#c032;doc014#c037,True,False,False,False,D
Q051,D100,doc010;doc007,doc010#c014;doc007#c036,True,False,False,False,D
Q051,D20,doc010;doc007,doc010#c014;doc007#c036,True,True,False,False,A
Q051,D50,doc010;doc007,doc010#c014;doc007#c036,True,False,False,False,D
Q062,D50,doc022,doc022#c001,False,True,False,False,A
Q065,D100,doc025;doc014,doc025#c001;doc014#c030,False,True,True,False,A
Q065,D50,doc025;doc014,doc025#c001;doc014#c030,False,True,True,False,A
Q068,D50,doc028;doc007,doc028#c001;doc007#c001,False,True,True,False,A
Q071,D100,doc031;doc033,doc031#c001;doc033#c001,False,True,True,False,A
Q071,D50,doc031;doc033,doc031#c001;doc033#c001,False,True,True,False,A
Q076,D50,doc036;doc024;doc014,doc036#c022;doc024#c005;doc014#c034,True,True,False,False,A
Q078,D100,doc038;doc005,doc038#c001;doc005#c001,True,True,True,True,A
Q078,D50,doc038;doc005,doc038#c001;doc005#c001,True,True,True,True,A
Q080,D100,doc040,doc040#c039,False,True,True,True,A
Q080,D50,doc040,doc040#c039,False,True,True,True,A
Q082,D100,doc042;doc033;doc014,doc042#c001;doc033#c019;doc014#c023,False,True,True,True,A
Q082,D50,doc042;doc033;doc014,doc042#c001;doc033#c019;doc014#c023,False,True,True,True,A
Q087,D100,doc047;doc002;doc014,doc047#c002;doc002#c073;doc014#c034,True,True,True,True,A
Q087,D50,doc047;doc002;doc014,doc047#c002;doc002#c073;doc014#c034,True,True,True,True,A
Q091,D100,doc051;doc014,doc051#c001;doc014#c024,True,True,False,False,A
Q094,D100,doc054;doc020,doc054#c001;doc020#c001,True,True,False,True,A
Q097,D100,doc057;doc033,doc057#c001;doc033#c001,True,True,False,True,A
Q098,D100,doc058;doc033,doc058#c002;doc033#c001,False,True,False,False,A
Q107,D100,doc067;doc033,doc067#c001;doc033#c019,True,True,False,False,A
