qid,corpus,selected_target_docs,gold_docs,target_doc_correct,current_descent_query,current_topk_chunks,gold_chunk_ids,gold_rank_in_doc,failure_type,equivalent_chunk_found,equivalent_type,candidate_oracle_selected_by_e1,candidate_oracle_final_chunks,evidence_oracle_chain_complete
Q014,D100,doc005,doc005;doc019,True,传染病 防治法 两部 上位法 病人 产生 交接 处置 前有何 特殊,doc005#c078;doc005#c044,doc005#c030;doc019#c003,NOT_FOUND,DESCENT_QUERY_MISS,False,TOPIC_ONLY,True,doc019#c003;doc019#c005;doc019#c014;doc005#c030;doc005#c078,True
Q014,D20,doc005,doc005;doc019,True,传染病 防治法 两部 上位法 病人 产生 交接 处置 前有何 特殊,doc005#c078;doc005#c044,doc005#c030;doc019#c003,NOT_FOUND,DESCENT_QUERY_MISS,False,TOPIC_ONLY,True,doc019#c003;doc019#c005;doc019#c014;doc005#c030;doc005#c078,True
Q014,D50,doc005,doc005;doc019,True,传染病 防治法 两部 上位法 病人 产生 交接 处置 前有何 特殊,doc005#c078;doc005#c044,doc005#c030;doc019#c003,NOT_FOUND,DESCENT_QUERY_MISS,False,TOPIC_ONLY,True,doc019#c003;doc019#c005;doc019#c014;doc005#c030;doc005#c078,True
Q025,D100,doc005,doc005;doc009,True,传染病 防治法 建立 防范 应急 控制 体系,doc005#c007;doc005#c023,doc009#c001;doc005#c047,NOT_FOUND,DESCENT_QUERY_MISS,True,PARTIAL_SUPPORT,True,doc009#c034;doc009#c035;doc009#c030;doc005#c047;doc005#c007,False
Q025,D20,doc005,doc005;doc009,True,传染病 防治法 建立 防范 应急 控制 体系,doc005#c007;doc005#c023,doc009#c001;doc005#c047,NOT_FOUND,DESCENT_QUERY_MISS,True,PARTIAL_SUPPORT,True,doc009#c034;doc009#c035;doc009#c030;doc005#c047;doc005#c007,False
Q025,D50,doc005,doc005;doc009,True,传染病 防治法 建立 防范 应急 控制 体系,doc005#c007;doc005#c023,doc009#c001;doc005#c047,NOT_FOUND,DESCENT_QUERY_MISS,True,PARTIAL_SUPPORT,True,doc009#c034;doc009#c035;doc009#c030;doc005#c047;doc005#c007,False
Q026,D100,doc095;doc014,doc010;doc014,True,医师法 医德 医风 评价 衔接,doc095#c001;doc014#c047,doc010#c001;doc014#c054,NOT_FOUND,DESCENT_QUERY_MISS,True,PARTIAL_SUPPORT,True,doc010#c064;doc018#c011;doc015#c008;doc014#c054;doc095#c001,False
Q026,D20,doc014,doc010;doc014,True,医师法 医德 医风 评价 衔接,doc014#c047;doc014#c082,doc010#c001;doc014#c054,NOT_FOUND,DESCENT_QUERY_MISS,True,PARTIAL_SUPPORT,True,doc010#c064;doc018#c011;doc015#c008;doc014#c054;doc014#c047,False
Q026,D50,doc014;doc033,doc010;doc014,True,医师法 医德 医风 评价 衔接,doc014#c047;doc033#c034,doc010#c001;doc014#c054,NOT_FOUND,DESCENT_QUERY_MISS,True,PARTIAL_SUPPORT,True,doc010#c064;doc018#c011;doc015#c008;doc014#c054;doc014#c047,False
Q055,D100,doc001;doc013,doc013,True,食品 安全法 实施 全面 哪一年 决定 局部 修正,doc001#c024;doc013#c015,doc013#c001,11,OTHER,False,TOPIC_ONLY,False,doc013#c001;doc001#c001;doc013#c097;doc013#c002;doc001#c024,True
Q055,D20,doc001;doc013,doc013,True,食品 安全法 实施 全面 哪一年 决定 局部 修正,doc001#c024;doc013#c015,doc013#c001,11,OTHER,False,TOPIC_ONLY,False,doc013#c001;doc001#c001;doc013#c097;doc013#c002;doc001#c024,True
Q055,D50,doc001;doc013,doc013,True,食品 安全法 实施 全面 哪一年 决定 局部 修正,doc001#c024;doc013#c015,doc013#c001,11,OTHER,False,TOPIC_ONLY,False,doc013#c001;doc001#c001;doc013#c097;doc013#c002;doc001#c024,True
Q073,D100,doc060;doc010,doc033,False,医疗机构 管理条例 执行 有关 问题 哪年哪月 正式 施行 同时 废止,doc060#c001;doc010#c001,doc033#c063,N/A,OTHER,False,IRRELEVANT,False,doc033#c063;doc006#c099;doc047#c015;doc060#c001;doc010#c001,True
Q078,D100,doc005,doc038;doc005,True,传染病 防治法 公布 施行 废止 铁道部 哪部 1992 办法 上位法,doc005#c049;doc005#c020,doc038#c001;doc005#c001,3,CHUNK_RANK_MISS,False,TOPIC_ONLY,True,doc038#c017;doc038#c005;doc038#c001;doc005#c001;doc005#c049,True
Q078,D50,doc005,doc038;doc005,True,传染病 防治法 公布 施行 废止 铁道部 哪部 1992 办法 上位法,doc005#c049;doc005#c020,doc038#c001;doc005#c001,3,CHUNK_RANK_MISS,False,TOPIC_ONLY,True,doc038#c017;doc038#c005;doc038#c001;doc005#c001;doc005#c049,True
Q082,D100,doc033;doc060,doc033;doc014;doc042,True,医疗机构 管理条例 农村 地区 设立 个体 诊所 必须 同时 满足,doc033#c043;doc060#c001,doc014#c023;doc033#c019;doc042#c001,4,CHUNK_RANK_MISS,False,TOPIC_ONLY,True,doc010#c016;doc025#c015;doc025#c010;doc033#c019;doc033#c043,False
Q082,D50,doc033;doc014,doc033;doc014;doc042,True,医疗机构 管理条例 农村 地区 设立 个体 诊所 必须 同时 满足,doc033#c043;doc014#c082,doc014#c023;doc033#c019;doc042#c001,4,CHUNK_RANK_MISS,False,TOPIC_ONLY,True,doc010#c016;doc025#c015;doc025#c010;doc014#c023;doc033#c019,False
Q089,D100,doc033;doc060,doc049;doc033;doc044,True,医疗机构 管理条例 非法组织 他人 卖血 行政处罚 衔接,doc033#c001;doc060#c001,doc033#c001;doc049#c001;doc044#c019,1,OTHER,True,EXACT_GOLD,False,doc049#c001;doc005#c079;doc044#c019;doc033#c001;doc060#c001,True
Q089,D50,doc033;doc019,doc049;doc033;doc044,True,医疗机构 管理条例 非法组织 他人 卖血 行政处罚 衔接,doc033#c001;doc019#c061,doc033#c001;doc049#c001;doc044#c019,1,OTHER,True,EXACT_GOLD,False,doc049#c001;doc005#c079;doc044#c019;doc033#c001;doc019#c061,True
Q098,D100,doc002,doc033;doc058,False,药品 管理法 取得 医疗机构 执业 许可证 个人 机构 擅自 哪个,doc002#c135;doc002#c083,doc033#c001;doc058#c002,N/A,TARGET_DOC_MISS,False,IRRELEVANT,False,doc020#c022;doc002#c100;doc033#c053;doc019#c044;doc002#c083,False
